,title,publisher,date,url
101,"SKT ‘테크갤러리’ 개소, ICT기술·인프라 공유",뉴스웨이,4일 전,http://www.newsway.co.kr/news/view?tp=1&ud=2019042514135279812
102,"""7인치 디스플레이 탑재"" SKT, AI스피커 '누구 네모' 출시",프라임경제,2019.04.18.,http://www.newsprime.co.kr/news/article.html?no=455881
103,"SKT, 어른신 돌봄 서비스 시범사업 실시…ICT 케어센터 개소",컨슈머타임스,7일 전,http://www.cstimes.com/?mod=news&act=articleView&idxno=302763
104,"SKT, 지자체·사회적 기업과 'ICT 돌봄 서비스' 시행",뉴시스,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009187155
105,"SKT '누구네모', 화면 장착한 AI스피커 실용성 낙제점?",FETV,2019.04.18.,http://www.fetv.co.kr/news/article.html?no=26395
106,"SKT-KT, WIS 2019서 5G 기술력 뽐낸다",ZDNet Korea,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160552
107,[영상/주리를 틀어라] ‘전국AI자랑’ 시즌2 - SKT ’누구‘ vs KT ’기가지니‘ vs 카카오 미니,아주경제,4일 전,http://www.ajunews.com/view/20190425105034694
108,"SKT, 디스플레이 탑재형 AI 스피커 ‘누구 네모’ 출시",컨슈머타임스,2019.04.18.,http://www.cstimes.com/?mod=news&act=articleView&idxno=302401
109,SKT-KT-퀄컴이 만드는 본격적인 5G 세상은 어떨까,키뉴스,4일 전,http://www.kinews.net/news/articleView.html?idxno=209645
110,"SKT, 독거 어르신 돕는 ‘ICT 돌봄 서비스’ 시행",ZDNet Korea,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160424
111,"SKT-KT, WIS 2019서 5G 기술력 뽐낸다",ZDNet Korea,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160552
112,[영상/주리를 틀어라] ‘전국AI자랑’ 시즌2 - SKT ’누구‘ vs KT ’기가지니‘ vs 카카오 미니,아주경제,4일 전,http://www.ajunews.com/view/20190425105034694
113,SKT ‘누구 네모’ 보이는 AI 스피커…7인치 디스플레이 탑재,더 기어,2019.04.18.,http://thegear.net/16974
114,"SKT, '월드 IT쇼 2019'서 혁신적 5G 선보여",인사이트,5일 전,https://www.insight.co.kr/news/224091
115,지자체·사회적기업과 함께하는 SKT ‘ICT 돌봄 서비스’,문화저널21,7일 전,http://www.mhj21.com/120929
116,"SKT, 디스플레이 탑재형 AI 스피커 ‘누구 네모’ 출시",컨슈머타임스,2019.04.18.,http://www.cstimes.com/?mod=news&act=articleView&idxno=302401
117,SKT-KT-퀄컴이 만드는 본격적인 5G 세상은 어떨까,키뉴스,4일 전,http://www.kinews.net/news/articleView.html?idxno=209645
118,"SKT-KT, ‘월드 IT쇼 2019'서 혁신적 5G 선 봬",데일리안,5일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=119&aid=0002324971
119,[솔로이코노미 동향] 티몬 개인화 쇼핑 서비스 포유·쿠첸 나 혼자 잘산다·SKT ICT 돌봄 서비스 外,데일리팝,5일 전,http://www.dailypop.kr/news/articleView.html?idxno=38843
120,"SKT, 독거노인 2100명에 AI스피커 보급…ICT 돌봄 지원(종합)",뉴시스,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009187799
121,"SKT, 디스플레이 탑재형 AI 스피커 ‘누구 네모’ 출시",컨슈머타임스,2019.04.18.,http://www.cstimes.com/?mod=news&act=articleView&idxno=302401
122,"SKT, 독거 어르신 돌봄·일자리 확대 등 사회적가치 창출 나서",키뉴스,7일 전,http://www.kinews.net/news/articleView.html?idxno=209515
123,"SKT, 'WIS 2019'서 '5G·AI·IoT' 혁신 서비스 선봬",뉴데일리,6일 전,http://biz.newdaily.co.kr/site/data/html/2019/04/23/2019042300015.html
124,SKT-KT-퀄컴이 만드는 본격적인 5G 세상은 어떨까,키뉴스,4일 전,http://www.kinews.net/news/articleView.html?idxno=209645
125,"SKT-KT, ‘월드 IT쇼 2019'서 혁신적 5G 선 봬",데일리안,5일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=119&aid=0002324971
126,[솔로이코노미 동향] 티몬 개인화 쇼핑 서비스 포유·쿠첸 나 혼자 잘산다·SKT ICT 돌봄 서비스 外,데일리팝,5일 전,http://www.dailypop.kr/news/articleView.html?idxno=38843
127,"SKT, '월드 IT쇼 2019'서 혁신적 5G 선보여",로봇신문,5일 전,http://www.irobotnews.com/news/articleView.html?idxno=17000
128,"SKT·KT, 국내 ICT 전시회 '월드IT쇼' 참가…5G '이슈몰이'",아이뉴스24,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489869
129,"SKT, ‘테크갤러리’ 개소...국내 ICT 생태계 동반성장 위해",한국스포츠경제,3일 전,http://www.sporbiz.co.kr/news/articleView.html?idxno=332330
130,"'사회적 가치' 창출 본격화... SKT, 독거 어르신 'ICT 돌봄 서비스' 시행",Korea IT Times,7일 전,http://www.koreaittimes.com/news/articleView.html?idxno=90429
131,"SKT, ICT 활용해 독거 어르신 돌본다…사회적 가치 창출",파이낸셜뉴스,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004215416
132,[솔로이코노미 동향] 티몬 개인화 쇼핑 서비스 포유·쿠첸 나 혼자 잘산다·SKT ICT 돌봄 서비스 外,데일리팝,5일 전,http://www.dailypop.kr/news/articleView.html?idxno=38843
133,"SKT, '월드 IT쇼'에 'AR 앵그리버드' 등 5G 서비스 전시",한국무역신문,6일 전,http://jedam15.koreafree.co.kr/news/view.html?section=1&category=5&item=&no=52047
134,"SKT, '월드 IT쇼 2019'서 혁신적 5G 선보여",로봇신문,5일 전,http://www.irobotnews.com/news/articleView.html?idxno=17000
135,"SKT·KT, 5G 혁신기술로 '월드IT쇼' 사로잡다",데일리한국,5일 전,http://daily.hankooki.com/lpage/ittech/201904/dh20190424110312138250.htm
136,"SKT·KT, 국내 ICT 전시회 '월드IT쇼' 참가…5G '이슈몰이'",아이뉴스24,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489869
137,"SKT, ‘테크갤러리’ 개소...국내 ICT 생태계 동반성장 위해",한국스포츠경제,3일 전,http://www.sporbiz.co.kr/news/articleView.html?idxno=332330
138,디스플레이 달린 AI 스피커 SKT '누구 네모' 29일 출시,파이낸셜뉴스,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004214077
139,"“아리아” 말하니 핑크퐁이 눈앞에...SKT, 보이는 AI스피커 ‘누구 네모’ 출시",서울경제언론사 선정,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003540845
140,"ICT 돌봄 서비스 나서는 SKT, ""노인 외로움 해소, 사회적 비용 줄인다""",키뉴스,7일 전,http://www.kinews.net/news/articleView.html?idxno=209528
141,"SKT·KT, 국내 ICT 전시회 '월드IT쇼' 참가…5G '이슈몰이'",아이뉴스24,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489869
142,"SKT, ‘테크갤러리’ 개소...국내 ICT 생태계 동반성장 위해",한국스포츠경제,3일 전,http://www.sporbiz.co.kr/news/articleView.html?idxno=332330
143,"""AR 앵그리버드와 VR 로봇전투 즐기세요""…SKT, 혁신적 5G 체험 기회 마련",업다운뉴스,5일 전,http://www.updownnews.co.kr/news/articleView.html?idxno=202304
144,디스플레이 달린 AI 스피커 SKT '누구 네모' 29일 출시,파이낸셜뉴스,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004214077
145,"“아리아” 말하니 핑크퐁이 눈앞에...SKT, 보이는 AI스피커 ‘누구 네모’ 출시",서울경제언론사 선정,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003540845
146,"""AI스피커 `누구`가 독거노인 친구""...SKT, ICT 사회복지 펼친다",디지털타임스,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=029&aid=0002522243
147,"화면 달린 '보이는 AI 스피커'…SKT, '누구 네모' 출시",아시아경제,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=277&aid=0004451922
148,"SKT·KT, ‘월드IT쇼 2019’서 5G콘텐츠·기술 전시…‘5G이미지 제고 무게’",스포츠서울,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=468&aid=0000498647
149,"'월드IT쇼 2019' 개막…SKT·KT, 선보일 5G 기술은?",더팩트,5일 전,http://news.tf.co.kr/read/economy/1751338.htm
150,"“아리아” 말하니 핑크퐁이 눈앞에...SKT, 보이는 AI스피커 ‘누구 네모’ 출시",서울경제언론사 선정,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003540845
